"rt","response","task","target_side","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct","trial_number","n_dots","stimulus","slider_start","participant"
"952","e","choice","left","e","practice","10","131044","0.0-4.0-8.0","true","1","4.25","","",""
"496.19999998807907","i","choice","right","i","practice","18","133846","0.0-4.0-8.1","true","2","4.25","","",""
"405.5","i","choice","right","i","practice","26","136539","0.0-4.0-8.2","true","3","3.85","","",""
"403.30000001192093","e","choice","left","e","practice","34","139236","0.0-4.0-8.3","true","4","3.85","","",""
"281.89999997615814","i","choice","right","i","practice","42","141813","0.0-4.0-8.4","true","5","3.45","","",""
"2.900000035762787","e","choice","left","e","practice","50","144120","0.0-4.0-8.5","true","6","3.45","","",""
"59.30000001192093","i","choice","right","i","practice","58","146471","0.0-4.0-8.6","true","7","3.25","","",""
"234","e","choice","left","e","practice","66","148987","0.0-4.0-8.7","true","8","3.25","","",""
"778.5","e","choice","right","i","practice","74","152059","0.0-4.0-8.8","false","9","3.05","","",""
"240.69999998807907","e","choice","left","e","practice","82","154605","0.0-4.0-8.9","true","10","3.25","","",""
"460","i","choice","right","i","practice","90","157351","0.0-4.0-8.10","true","11","3.25","","",""
"519.5","e","choice","left","e","practice","98","160174","0.0-4.0-8.11","true","12","3.15","","",""
"272.60000002384186","e","choice","left","e","practice","106","162745","0.0-4.0-8.12","true","13","3.15","","",""
"222","e","choice","right","i","practice","114","165276","0.0-4.0-8.13","false","14","3.05","","",""
"110.80000001192093","e","choice","left","e","practice","122","167664","0.0-4.0-8.14","true","15","3.15","","",""
"463.80000001192093","e","choice","right","i","practice","130","170407","0.0-4.0-8.15","false","16","3.15","","",""
"327.4000000357628","e","choice","left","e","practice","138","173034","0.0-4.0-8.16","true","17","3.25","","",""
"139","e","choice","right","i","practice","146","175463","0.0-4.0-8.17","false","18","3.25","","",""
"602.4000000357628","i","choice","right","i","practice","154","178369","0.0-4.0-8.18","true","19","3.35","","",""
"191.69999998807907","e","choice","left","e","practice","162","180866","0.0-4.0-8.19","true","20","3.35","","",""
"395.0999999642372","i","choice","right","i","practice","170","183544","0.0-4.0-8.20","true","21","3.25","","",""
"561.2999999523163","e","choice","left","e","practice","178","186403","0.0-4.0-8.21","true","22","3.25","","",""
"466","e","choice","right","i","practice","186","189173","0.0-4.0-8.22","false","23","3.15","","",""
"646.6999999880791","e","choice","left","e","practice","194","192105","0.0-4.0-8.23","true","24","3.25","","",""
"535.1000000238419","e","choice","right","i","practice","202","194927","0.0-4.0-8.24","false","25","3.25","","",""
"307.80000001192093","e","choice","left","e","practice","210","197531","0.0-4.0-8.25","true","26","3.35","","",""
"2449.5","i","choice","right","i","experimental","221","243472","0.0-4.0-8.26","true","27","3.35","","",""
"9023.200000047684","1","confid","","","html-slider-response","223","253001","0.0-4.0-10.26-0.26","","","","Rate your confidence","1",""
"437","e","choice","left","e","experimental","230","255242","0.0-4.0-8.27","true","28","3.25","","",""
