"rt","response","task","target_side","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct","trial_number","n_dots","stimulus","slider_start","participant"
"1434.8999999761581","i","choice","right","i","practice","10","127339","0.0-4.0-8.0","true","1","4.25","","",""
"374.39999997615814","e","choice","left","e","practice","18","130054","0.0-4.0-8.1","true","2","4.25","","",""
"396","e","choice","left","e","practice","26","132794","0.0-4.0-8.2","true","3","3.85","","",""
"383.19999998807907","i","choice","right","i","practice","34","135498","0.0-4.0-8.3","true","4","3.85","","",""
"896.5","e","choice","right","i","practice","42","138737","0.0-4.0-8.4","false","5","3.45","","",""
"2333.9000000059605","i","choice","left","e","practice","50","143438","0.0-4.0-8.5","false","6","3.85","","",""
"765.5","e","choice","left","e","practice","58","146533","0.0-4.0-8.6","true","7","4.05","","",""
"266.59999999403954","i","choice","right","i","practice","66","149147","0.0-4.0-8.7","true","8","4.05","","",""
"282.7000000178814","i","choice","right","i","practice","74","151766","0.0-4.0-8.8","true","9","3.8499999999999996","","",""
"605.3999999761581","e","choice","left","e","practice","82","154705","0.0-4.0-8.9","true","10","3.8499999999999996","","",""
"664.3000000119209","i","choice","right","i","practice","90","157710","0.0-4.0-8.10","true","11","3.6499999999999995","","",""
"384.59999999403954","e","choice","left","e","practice","98","160423","0.0-4.0-8.11","true","12","3.6499999999999995","","",""
"226.59999999403954","e","choice","left","e","practice","106","162977","0.0-4.0-8.12","true","13","3.5499999999999994","","",""
"70.5","i","choice","right","i","practice","114","165376","0.0-4.0-8.13","true","14","3.5499999999999994","","",""
"292.30000001192093","i","choice","right","i","practice","122","167995","0.0-4.0-8.14","true","15","3.4499999999999993","","",""
"110.5","e","choice","left","e","practice","130","170464","0.0-4.0-8.15","true","16","3.4499999999999993","","",""
"421.40000000596046","e","choice","right","i","practice","138","173232","0.0-4.0-8.16","false","17","3.349999999999999","","",""
"812.9000000059605","e","choice","left","e","practice","146","176388","0.0-4.0-8.17","true","18","3.4499999999999993","","",""
"322.59999999403954","i","choice","right","i","practice","154","179032","0.0-4.0-8.18","true","19","3.4499999999999993","","",""
"909.1999999880791","e","choice","left","e","practice","162","182292","0.0-4.0-8.19","true","20","3.349999999999999","","",""
"729.4000000059605","e","choice","left","e","practice","170","185355","0.0-4.0-8.20","true","21","3.349999999999999","","",""
"383.19999998807907","i","choice","right","i","practice","178","188100","0.0-4.0-8.21","true","22","3.249999999999999","","",""
