"rt","response","task","target_side","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct","trial_number","n_dots","stimulus","slider_start","participant"
"942.1000000014901","i","choice","left","e","practice","10","100952","0.0-4.0-8.0","false","1","4.25","","",""
"388.3999999985099","i","choice","right","i","practice","18","103632","0.0-4.0-8.1","true","2","4.65","","",""
"325.5","e","choice","left","e","practice","26","106240","0.0-4.0-8.2","true","3","4.65","","",""
"361","i","choice","right","i","practice","34","108888","0.0-4.0-8.3","true","4","4.25","","",""
"507.3999999985099","i","choice","left","e","practice","42","111671","0.0-4.0-8.4","false","5","4.25","","",""
"397.1000000014901","i","choice","right","i","practice","50","114345","0.0-4.0-8.5","true","6","4.65","","",""
"476.30000000447035","i","choice","right","i","practice","58","117098","0.0-4.0-8.6","true","7","4.65","","",""
"408.29999999701977","e","choice","left","e","practice","66","119785","0.0-4.0-8.7","true","8","4.45","","",""
"375","i","choice","right","i","practice","74","122433","0.0-4.0-8.8","true","9","4.45","","",""
"350.8999999985099","e","choice","left","e","practice","82","125065","0.0-4.0-8.9","true","10","4.25","","",""
"347.80000000447035","i","choice","right","i","practice","90","127730","0.0-4.0-8.10","true","11","4.25","","",""
"427","e","choice","left","e","practice","98","130433","0.0-4.0-8.11","true","12","4.15","","",""
"333.70000000298023","i","choice","right","i","practice","106","133041","0.0-4.0-8.12","true","13","4.15","","",""
"564.4000000059605","e","choice","left","e","practice","114","135873","0.0-4.0-8.13","true","14","4.050000000000001","","",""
"321.69999999552965","i","choice","right","i","practice","122","138481","0.0-4.0-8.14","true","15","4.050000000000001","","",""
"383.6000000014901","i","choice","left","e","practice","130","141137","0.0-4.0-8.15","false","16","3.9500000000000006","","",""
"297","i","choice","right","i","practice","138","143705","0.0-4.0-8.16","true","17","4.050000000000001","","",""
"844.3999999985099","e","choice","left","e","practice","146","146826","0.0-4.0-8.17","true","18","4.050000000000001","","",""
"314.29999999701977","i","choice","right","i","practice","154","149417","0.0-4.0-8.18","true","19","3.9500000000000006","","",""
"448.70000000298023","i","choice","left","e","practice","162","152133","0.0-4.0-8.19","false","20","3.9500000000000006","","",""
"446.70000000298023","e","choice","left","e","practice","170","154857","0.0-4.0-8.20","true","21","4.050000000000001","","",""
"442.20000000298023","i","choice","right","i","practice","178","157585","0.0-4.0-8.21","true","22","4.050000000000001","","",""
"433.40000000596046","i","choice","right","i","practice","186","160289","0.0-4.0-8.22","true","23","3.9500000000000006","","",""
"449.5","e","choice","left","e","practice","194","163009","0.0-4.0-8.23","true","24","3.9500000000000006","","",""
"652.8999999985099","e","choice","left","e","practice","202","165961","0.0-4.0-8.24","true","25","3.8500000000000005","","",""
"505.29999999701977","i","choice","right","i","practice","210","168737","0.0-4.0-8.25","true","26","3.8500000000000005","","",""
"742.2000000029802","e","choice","left","e","experimental","221","206699","0.0-4.0-8.26","true","27","3.7500000000000004","","",""
"4976.69999999553","2","confid","","","html-slider-response","223","212178","0.0-4.0-10.26-0.26","","","","Rate your confidence","1",""
"703.8999999985099","i","choice","right","i","experimental","230","214668","0.0-4.0-8.27","true","28","3.7500000000000004","","",""
"1560.1000000014901","4","confid","","","html-slider-response","232","216732","0.0-4.0-10.27-0.27","","","","Rate your confidence","1",""
"743.1999999955297","i","choice","left","e","experimental","239","219267","0.0-4.0-8.28","false","29","3.6500000000000004","","",""
