"rt","response","task","target_side","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct","trial_number","n_dots","stimulus","slider_start","participant"
"297.7999999821186","i","choice","right","i","practice","10","103902","0.0-4.0-8.0","true","1","4.25","","",""
"257.80000001192093","e","choice","left","e","practice","18","106430","0.0-4.0-8.1","true","2","4.25","","",""
"275","i","choice","right","i","practice","26","109007","0.0-4.0-8.2","true","3","3.85","","",""
"327.2999999821186","e","choice","left","e","practice","34","111606","0.0-4.0-8.3","true","4","3.85","","",""
"241.5","i","choice","right","i","practice","42","114126","0.0-4.0-8.4","true","5","3.45","","",""
"240.30000001192093","i","choice","left","e","practice","50","116646","0.0-4.0-8.5","false","6","3.45","","",""
"221.2999999821186","i","choice","right","i","practice","58","119142","0.0-4.0-8.6","true","7","3.6500000000000004","","",""
"271.5","e","choice","left","e","practice","66","121694","0.0-4.0-8.7","true","8","3.6500000000000004","","",""
"422.5","e","choice","left","e","practice","74","124390","0.0-4.0-8.8","true","9","3.45","","",""
"263.90000000596046","i","choice","right","i","practice","82","126936","0.0-4.0-8.9","true","10","3.45","","",""
"638.5","e","choice","right","i","practice","90","129847","0.0-4.0-8.10","false","11","3.25","","",""
"224.30000001192093","i","choice","left","e","practice","98","132351","0.0-4.0-8.11","false","12","3.35","","",""
"237.7999999821186","i","choice","left","e","practice","106","134878","0.0-4.0-8.12","false","13","3.45","","",""
"390.80000001192093","i","choice","right","i","practice","114","137542","0.0-4.0-8.13","true","14","3.5500000000000003","","",""
"361.7000000178814","e","choice","left","e","practice","122","140191","0.0-4.0-8.14","true","15","3.5500000000000003","","",""
"673.4000000059605","e","choice","right","i","practice","130","143159","0.0-4.0-8.15","false","16","3.45","","",""
"445.09999999403954","e","choice","left","e","practice","138","145886","0.0-4.0-8.16","true","17","3.5500000000000003","","",""
"635.8999999761581","e","choice","right","i","practice","146","148798","0.0-4.0-8.17","false","18","3.5500000000000003","","",""
"426.2000000178814","e","choice","left","e","practice","154","151494","0.0-4.0-8.18","true","19","3.6500000000000004","","",""
"282.7999999821186","i","choice","right","i","practice","162","154071","0.0-4.0-8.19","true","20","3.6500000000000004","","",""
"307","i","choice","right","i","practice","170","156654","0.0-4.0-8.20","true","21","3.5500000000000003","","",""
"302.19999998807907","i","choice","left","e","practice","178","159239","0.0-4.0-8.21","false","22","3.5500000000000003","","",""
"573.4000000059605","e","choice","left","e","practice","186","162089","0.0-4.0-8.22","true","23","3.6500000000000004","","",""
"730.9000000059605","e","choice","right","i","practice","194","165095","0.0-4.0-8.23","false","24","3.6500000000000004","","",""
"281.90000000596046","i","choice","right","i","practice","202","167657","0.0-4.0-8.24","true","25","3.7500000000000004","","",""
"659","e","choice","left","e","practice","210","170585","0.0-4.0-8.25","true","26","3.7500000000000004","","",""
"568.1999999880791","e","choice","left","e","experimental","221","198160","0.0-4.0-8.26","true","27","3.6500000000000004","","",""
"1746.5","3","confid","","","html-slider-response","223","200408","0.0-4.0-10.26-0.26","","","","Rate your confidence","1",""
"1063.5999999940395","i","choice","right","i","experimental","230","203256","0.0-4.0-8.27","true","28","3.6500000000000004","","",""
"3271.5999999940395","4","confid","","","html-slider-response","232","207032","0.0-4.0-10.27-0.27","","","","Rate your confidence","1",""
"1526.5999999940395","e","choice","left","e","experimental","239","210328","0.0-4.0-8.28","true","29","3.5500000000000003","","",""
"1626.2000000178814","4","confid","","","html-slider-response","241","212456","0.0-4.0-10.28-0.28","","","","Rate your confidence","1",""
"2105.0999999940395","e","choice","right","i","experimental","248","216352","0.0-4.0-8.29","false","30","3.5500000000000003","","",""
"2399.800000011921","5","confid","","","html-slider-response","250","219256","0.0-4.0-10.29-0.29","","","","Rate your confidence","1",""
"816.7999999821186","i","choice","left","e","experimental","257","221849","0.0-4.0-8.30","false","31","3.6500000000000004","","",""
"1821.9000000059605","3","confid","","","html-slider-response","259","224178","0.0-4.0-10.30-0.30","","","","Rate your confidence","1",""
"282.89999997615814","i","choice","right","i","experimental","266","226241","0.0-4.0-8.31","true","32","3.7500000000000004","","",""
"1577.2999999821186","6","confid","","","html-slider-response","268","228321","0.0-4.0-10.31-0.31","","","","Rate your confidence","1",""
"1159.4000000059605","i","choice","right","i","experimental","275","231281","0.0-4.0-8.32","true","33","3.7500000000000004","","",""
"1887.5","4","confid","","","html-slider-response","277","233673","0.0-4.0-10.32-0.32","","","","Rate your confidence","1",""
"475.2000000178814","e","choice","left","e","experimental","284","235938","0.0-4.0-8.33","true","34","3.6500000000000004","","",""
"2262.5","5","confid","","","html-slider-response","286","238705","0.0-4.0-10.33-0.33","","","","Rate your confidence","1",""
"853.4000000059605","e","choice","left","e","experimental","293","241329","0.0-4.0-8.34","true","35","3.6500000000000004","","",""
"1410.5999999940395","3","confid","","","html-slider-response","295","243249","0.0-4.0-10.34-0.34","","","","Rate your confidence","1",""
"877.0999999940395","i","choice","right","i","experimental","302","245897","0.0-4.0-8.35","true","36","3.5500000000000003","","",""
"1208.7000000178814","4","confid","","","html-slider-response","304","247609","0.0-4.0-10.35-0.35","","","","Rate your confidence","1",""
"2093.5","i","choice","left","e","experimental","311","251497","0.0-4.0-8.36","false","37","3.5500000000000003","","",""
"1202","4","confid","","","html-slider-response","313","253201","0.0-4.0-10.36-0.36","","","","Rate your confidence","1",""
"398.5","i","choice","right","i","experimental","320","255378","0.0-4.0-8.37","true","38","3.6500000000000004","","",""
"1310.8999999761581","6","confid","","","html-slider-response","322","257193","0.0-4.0-10.37-0.37","","","","Rate your confidence","1",""
"398.80000001192093","e","choice","right","i","experimental","329","259369","0.0-4.0-8.38","false","39","3.6500000000000004","","",""
"2015.800000011921","2","confid","","","html-slider-response","331","261889","0.0-4.0-10.38-0.38","","","","Rate your confidence","1",""
"348.5","e","choice","left","e","experimental","338","264009","0.0-4.0-8.39","true","40","3.7500000000000004","","",""
"1615.7000000178814","5","confid","","","html-slider-response","340","266129","0.0-4.0-10.39-0.39","","","","Rate your confidence","1",""
"497.2999999821186","e","choice","left","e","experimental","347","268401","0.0-4.0-8.40","true","41","3.7500000000000004","","",""
"1607.5999999940395","4","confid","","","html-slider-response","349","270513","0.0-4.0-10.40-0.40","","","","Rate your confidence","1",""
"1294.300000011921","i","choice","right","i","experimental","356","273587","0.0-4.0-8.41","true","42","3.6500000000000004","","",""
"2463.199999988079","2","confid","","","html-slider-response","358","276553","0.0-4.0-10.41-0.41","","","","Rate your confidence","1",""
"795.7000000178814","i","choice","right","i","experimental","365","279129","0.0-4.0-8.42","true","43","3.6500000000000004","","",""
"5185.9000000059605","2","confid","","","html-slider-response","367","284818","0.0-4.0-10.42-0.42","","","","Rate your confidence","1",""
"164114.80000001192","i","choice","left","e","experimental","374","455726","0.0-4.0-8.43","false","44","3.5500000000000003","","",""
"5024.300000011921","2","confid","","","html-slider-response","376","461254","0.0-4.0-10.43-0.43","","","","Rate your confidence","1",""
"822.6999999880791","e","choice","left","e","experimental","383","463854","0.0-4.0-8.44","true","45","3.6500000000000004","","",""
"4200","3","confid","","","html-slider-response","385","468574","0.0-4.0-10.44-0.44","","","","Rate your confidence","1",""
"29033.20000001788","e","choice","right","i","experimental","392","499382","0.0-4.0-8.45","false","46","3.6500000000000004","","",""
"3208.9000000059605","3","confid","","","html-slider-response","394","503094","0.0-4.0-10.45-0.45","","","","Rate your confidence","1",""
"329.5","i","choice","right","i","experimental","401","505198","0.0-4.0-8.46","true","47","3.7500000000000004","","",""
"2087.2999999821186","5","confid","","","html-slider-response","403","507790","0.0-4.0-10.46-0.46","","","","Rate your confidence","1",""
"467.5","e","choice","left","e","experimental","410","510030","0.0-4.0-8.47","true","48","3.7500000000000004","","",""
"1377.300000011921","3","confid","","","html-slider-response","412","511910","0.0-4.0-10.47-0.47","","","","Rate your confidence","1",""
"446.69999998807907","e","choice","left","e","experimental","419","514127","0.0-4.0-8.48","true","49","3.6500000000000004","","",""
"1205.5999999940395","5","confid","","","html-slider-response","421","515839","0.0-4.0-10.48-0.48","","","","Rate your confidence","1",""
"599.2000000178814","e","choice","right","i","experimental","428","518224","0.0-4.0-8.49","false","50","3.6500000000000004","","",""
"1312.1000000238419","5","confid","","","html-slider-response","430","520040","0.0-4.0-10.49-0.49","","","","Rate your confidence","1",""
"315.09999999403954","i","choice","right","i","experimental","437","522129","0.0-4.0-8.50","true","51","3.7500000000000004","","",""
"2142.2999999821186","5","confid","","","html-slider-response","439","524775","0.0-4.0-10.50-0.50","","","","Rate your confidence","1",""
"479.30000001192093","e","choice","left","e","experimental","446","527032","0.0-4.0-8.51","true","52","3.7500000000000004","","",""
"1000.7999999821186","3","confid","","","html-slider-response","448","528535","0.0-4.0-10.51-0.51","","","","Rate your confidence","1",""
"470.09999999403954","i","choice","right","i","experimental","455","530775","0.0-4.0-8.52","true","53","3.6500000000000004","","",""
"1696.8999999761581","4","confid","","","html-slider-response","457","532975","0.0-4.0-10.52-0.52","","","","Rate your confidence","1",""
"433.90000000596046","e","choice","left","e","experimental","464","535183","0.0-4.0-8.53","true","54","3.6500000000000004","","",""
"1610.300000011921","4","confid","","","html-slider-response","466","537295","0.0-4.0-10.53-0.53","","","","Rate your confidence","1",""
"852.0999999940395","e","choice","right","i","experimental","473","539920","0.0-4.0-8.54","false","55","3.5500000000000003","","",""
"1448.699999988079","2","confid","","","html-slider-response","475","541871","0.0-4.0-10.54-0.54","","","","Rate your confidence","1",""
"781.5999999940395","i","choice","left","e","experimental","482","544448","0.0-4.0-8.55","false","56","3.6500000000000004","","",""
"2264","2","confid","","","html-slider-response","484","547215","0.0-4.0-10.55-0.55","","","","Rate your confidence","1",""
"238.40000000596046","i","choice","right","i","experimental","491","549224","0.0-4.0-8.56","true","57","3.7500000000000004","","",""
"1264.9000000059605","5","confid","","","html-slider-response","493","550999","0.0-4.0-10.56-0.56","","","","Rate your confidence","1",""
"320.59999999403954","i","choice","left","e","experimental","500","553089","0.0-4.0-8.57","false","58","3.7500000000000004","","",""
"1909.9000000059605","5","confid","","","html-slider-response","502","555503","0.0-4.0-10.57-0.57","","","","Rate your confidence","1",""
"698.1999999880791","e","choice","right","i","experimental","509","557977","0.0-4.0-8.58","false","59","3.8500000000000005","","",""
"18671","3","confid","","","html-slider-response","511","577152","0.0-4.0-10.58-0.58","","","","Rate your confidence","1",""
"240.2000000178814","e","choice","left","e","experimental","518","579177","0.0-4.0-8.59","true","60","3.9500000000000006","","",""
"1192.800000011921","6","confid","","","html-slider-response","520","580872","0.0-4.0-10.59-0.59","","","","Rate your confidence","1",""
"336.59999999403954","i","choice","right","i","experimental","527","582984","0.0-4.0-8.60","true","61","3.9500000000000006","","",""
"8721.299999982119","4","confid","","","html-slider-response","529","592208","0.0-4.0-10.60-0.60","","","","Rate your confidence","1",""
"230.59999999403954","e","choice","left","e","experimental","536","594208","0.0-4.0-8.61","true","62","3.8500000000000005","","",""
"1689.5","6","confid","","","html-slider-response","538","596400","0.0-4.0-10.61-0.61","","","","Rate your confidence","1",""
"235.2000000178814","e","choice","left","e","experimental","545","598411","0.0-4.0-8.62","true","63","3.8500000000000005","","",""
"1485.7000000178814","6","confid","","","html-slider-response","547","600401","0.0-4.0-10.62-0.62","","","","Rate your confidence","1",""
"913.6999999880791","e","choice","right","i","experimental","554","603096","0.0-4.0-8.63","false","64","3.7500000000000004","","",""
"1224.199999988079","4","confid","","","html-slider-response","556","604824","0.0-4.0-10.63-0.63","","","","Rate your confidence","1",""
"286.80000001192093","i","choice","right","i","experimental","563","606889","0.0-4.0-8.64","true","65","3.8500000000000005","","",""
"2816.399999976158","5","confid","","","html-slider-response","565","610208","0.0-4.0-10.64-0.64","","","","Rate your confidence","1",""
"349.90000000596046","e","choice","left","e","experimental","572","612336","0.0-4.0-8.65","true","66","3.8500000000000005","","",""
"2623.699999988079","6","confid","","","html-slider-response","574","615464","0.0-4.0-10.65-0.65","","","","Rate your confidence","1",""
"517.5999999940395","i","choice","right","i","experimental","581","617752","0.0-4.0-8.66","true","67","3.7500000000000004","","",""
"1594.4000000059605","5","confid","","","html-slider-response","583","619849","0.0-4.0-10.66-0.66","","","","Rate your confidence","1",""
"554","e","choice","left","e","experimental","590","622177","0.0-4.0-8.67","true","68","3.7500000000000004","","",""
"2207.2999999821186","4","confid","","","html-slider-response","592","624889","0.0-4.0-10.67-0.67","","","","Rate your confidence","1",""
