"","X.1","X","Participant.email","Condition","X1a","X1b","X1c","X2a","X2b","X3a","X3b","X4a","X4b","X5a","X5b","X6a","X6b","X7a","X7b","X8a","X8b","X9a","X9b","X10a","X10b"
"1",1,1,"FCDK2JT805VNTIXE0FUO","mental",1,0,7,8,"yes",5,"yes",4,"yes",5,"yes",7,"yes",7,"no",4,"yes",4,"yes",6,"yes"
"2",2,2,"203TFIJZQV0K24QFP79H","world",2,1,7.5,3,"no",3,"no",4,"no",4,"no",4,"no",3,"no",4.5,"yes",4,"no",5,"no"
"3",3,3,"UQVLJJPGBEUHFIL6WKNP","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"4",4,4,"3XWTXPLITRN4BIZ3O8F8","mental",0,1,10,1,"yes",1,"yes",9,"yes",5,"no",2,"yes",4,"yes",8.5,"no",8,"yes",3,"no"
"5",5,5,"LKFKVNN4W9ZCA8LD2WE5","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"6",6,6,"712C9WGID5FOX22YADAI","world",1,0,8,9,"yes",8,"yes",9,"yes",9,"yes",9,"yes",8,"yes",9.5,"yes",8.5,"yes",9,"yes"
"7",7,7,"PGI4OVB22J0JN7958HSI","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"8",8,8,"T92XFPTYB0FJDRZJESVV","world",0,0,8,7,"no",8,"no",8,"no",8,"yes",7,"yes",5,"no",6,"no",7,"no",7,"no"
"9",9,9,"ZM3PI2HHYIT8V2MZRICK","mental",3,1,8.5,9,"yes",8.5,"no",9.5,"yes",9,"no",9,"yes",8.5,"yes",8,"yes",8.5,"no",9.5,"yes"
"10",10,10,"MGIQRQ0KUWEXJWBSX76A","world",5,3,3,5,"no",5.5,"yes",6,"yes",3,"no",4,"no",7,"no",5,"yes",5,"yes",7,"no"
"11",11,11,"3MVAQ8TRKG5ZFPXEAQ6W","mental",2,1,6.5,6,"yes",7.5,"yes",6.5,"yes",7,"yes",5,"yes",6,"yes",6.5,"yes",NA,"",NA,""
"12",12,12,"ERKPD6OMDRCIY78E52UU","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"13",13,13,"F7IJIN5NZML2L1DHTP21","world",0,0,10,6,"no",6,"no",5,"yes",7,"no",5,"no",2,"yes",7,"yes",2,"no",3,"yes"
"14",14,14,"UAZEK5TV4RSYWEES73G2","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"15",15,15,"VE0D7WYX0CZ4416TEO32","mental",3,2,5,7,"yes",6.5,"yes",8,"yes",8.5,"yes",6,"",5,"yes",8.5,"yes",7,"yes",8,"yes"
"16",16,16,"HHQG0X8P8FVHQFW51HSX","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
