"","dots","gabor_YN","gabor_2AFC","span_YN","span_2AFC","breath"
"dots",1,0.05,0.02,-0.01,-0.21,0.03
"gabor_YN",0.05,1,0.56,0.01,0,0.02
"gabor_2AFC",0.02,0.56,1,0.01,0.11,0.05
"span_YN",-0.01,0.01,0.01,1,0.07,-0.02
"span_2AFC",-0.21,0,0.11,0.07,1,0.02
"breath",0.03,0.02,0.05,-0.02,0.02,1
