"","dots","gabor_YN","gabor_2AFC","span_YN","span_2AFC","breath"
"dots",1,0.05,0.03,-0.02,-0.13,0.01
"gabor_YN",0.05,1,0.52,0,-0.02,0.01
"gabor_2AFC",0.03,0.52,1,0.02,0.12,0.06
"span_YN",-0.02,0,0.02,1,0.07,0
"span_2AFC",-0.13,-0.02,0.12,0.07,1,0.05
"breath",0.01,0.01,0.06,0,0.05,1
