"","MS Mean (SE)","W Mean (SE)","Mean diff. (SE)","BF","RR"
"TMS-D","1.12 (0.21)","0.79 (0.19)","0.33 (0.28)","1.72","[0.00, 1.66]"
"GAD-7","0.46 (0.18)","-0.02 (0.23)","0.48 (0.29)","2.44","[0.00, 3.39]"
"PHQ-8","0.21 (0.16)","0.02 (0.19)","0.19 (0.25)","1.24","[0.00, 0.97]"
"SOW","1.11 (0.20)","1.38 (0.27)","-0.27 (0.34)","1.29","[0.00, 1.35]"
"WBSI","1.05 (0.27)","0.79 (0.30)","0.26 (0.40)","1.19","[0.00, 1.43]"
"RRS","0.49 (0.19)","0.46 (0.24)","0.03 (0.31)","0.83","[0.00, 0.86]"
