"","H1","MS.World.Mean","MS.World.BF","MS.World.RR","World.Waitlist.Mean","World.Waitlist.BF","World.Waitlist.RR","MS.Waitlist.Mean","MS.Waitlist.BF","MS.Waitlist.RR"
"TMS-D","0.20	","-0.13 (0.14)	","0.34	","[0.00, 2.87]	","0.33 (0.12)	","152.24	","[0.06, 3.20]	","0.20 (0.12)	","7.11	","[0.04, 1.56]	"
"SOW 1st","0.20	","-0.35 (0.12)	","0.14	","[0.08, >5.00]	","0.32 (0.11)	","128.19	","[0.05, 3.45]	","-0.03 (0.11)	","0.46	","[0.00, 1.85]	"
"SOW 2nd","0.20	","-0.30 (0.12)	","0.18	","[0.10, >5.00]	","0.41 (0.12)	","867.78	","[0.05, 4.63]	","0.12 (0.11)	","2.33	","[0.00, 1.11]	"
"PHQ-8","0.20	","-0.18 (0.09)	","7.24	","[0.06, 1.41]	","-0.36 (0.09)	","26135.55	","[0.03, 4.88]	","-0.54 (0.09)	","86184332.32	","[0.02, >5.00]	"
"GAD-7","0.20	","0.25 (0.16)	","0.31	","[0.10, 3.39]	","-0.20 (0.15)	","10.52	","[0.03, 1.87]	","0.06 (0.15)	","0.77	","[0.00, 1.71]	"
"RRS","0.20	","0.01 (0.08)	","0.36	","[0.00, 2.39]	","-0.35 (0.09)	","36756.89	","[0.03, 4.93]	","-0.34 (0.08)	","6137.60	","[0.03, 4.98]	"
"WBSI","0.20	","0.12 (0.12)	","0.30	","[0.13, 4.00]	","-0.19 (0.11)	","5.32	","[0.05, 1.34]	","-0.07 (0.11)	","1.04	","[0.00, 0.97]	"
"Adj. meta-d'","0.50	","-0.06 (0.09)	","0.13	","[0.18, 4.87]	","0.03 (0.09)	","0.62	","[0.00, 3.73]	","0.10 (0.08)	","13.04	","[0.13, 2.70]	"
"HM-ratio","0.30	","0.05 (0.07)	","0.76	","[0.00, 2.42]	","0.05 (0.07)	","7.97	","[0.08, 2.39]	","0.10 (0.07)	","9.59	","[0.09, 2.08]	"
