"","MS Mean (SE)","W Mean (SE)","Mean diff. (SE)","BF","RR"
"TMS-D","1.01 (0.45)","1.43 (0.23)","-0.42 (0.51)","1.27","[0.00, 2.10]"
"GAD-7","0.60 (0.50)","0.64 (0.32)","-0.04 (0.59)","0.95","[0.00, 1.67]"
"PHQ-8","0.32 (0.44)","0.25 (0.23)","0.07 (0.50)","0.96","[0.00, 1.43]"
"Observe 1&2","1.45 (0.55)","1.94 (0.37)","-0.49 (0.66)","1.19","[0.00, 2.54]"
"WBSI","1.64 (0.68)","1.06 (0.54)","0.58 (0.87)","1.13","[0.00, 3.16]"
"RRS","0.82 (0.62)","0.78 (0.32)","0.04 (0.70)","0.97","[0.00, 1.98]"
