"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q1_1"
"1",1,"Start Date","End Date","Response Type","IP Address","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Firstly, after your last mindfulness practice, did you try being mindful during an activity (e.g. chores or walking)?","Timing - First Click","Timing - Last Click","Timing - Page Submit","Timing - Click Count","During the ten minute session, what percentage of time were you focusing on the practice? - % time focused"
"2",2,"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_FIRST_CLICK""}","{""ImportId"":""QID5_LAST_CLICK""}","{""ImportId"":""QID5_PAGE_SUBMIT""}","{""ImportId"":""QID5_CLICK_COUNT""}","{""ImportId"":""QID3_1""}"
"3",3,"2022-03-08 07:45:28","2022-03-08 07:45:51","0","84.71.237.250","100","22","1","2022-03-08 07:45:51","R_2B4LrYI28PQtSya","","","FZ90YG0UUHAMWUUNINI6","","51.5507049560546875","-0.0536956787109375","email","EN","2","0.498","2.389","2.419","2","89"
"4",4,"2022-03-08 11:43:38","2022-03-08 11:54:12","0","37.60.109.183","100","634","1","2022-03-08 11:54:12","R_1gH1fZmY4IGxAPk","","","3PMQ28E33RJHMNIJUSVV","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","622.897","0","76"
"5",5,"2022-03-08 16:44:27","2022-03-08 17:31:55","0","37.60.109.183","100","2848","1","2022-03-08 17:31:56","R_2YhrouGtuXvhzRE","","","RO0P0IHBTL6QSO7GQWUY","","50.8612060546875","-0.1194000244140625","email","EN","2","5.587","5.587","1292.655","1","51"
"6",6,"2022-03-08 21:43:42","2022-03-08 21:58:58","0","37.60.109.183","100","915","1","2022-03-08 21:58:59","R_1HirQ2vVi6GnJko","","","HM2EVTQRSEBFII0WVXH4","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","848.327","0","85"
